Site,Community,County,Statute Mile,Riverbank,Latitude,Longitude,Cartop Launch,Trailered Launch,Campsite,Day Use Site,Kayak Storage Racks,Restroom/Privy,Picnicking/Grills,Dining/Restaurant,Retail/Supplies,Lodging,Bus Service,Train Service,Trail,Swimming,Fishing,Hunting,Trapping,Bird Watching,Golf,Concerts/events,Playground,Tour Boat Service,Natural & Cultural Resources,Historic Resources,Visitor-Nature Center/Museum,Location
HR Interpretive Trail,Town of New Baltimore,Greene ,131.9,W,42.460556,-73.786944,,,,DU,,,,,,,,,Y,,Y,,,,,,,,Y,Y,,"(42.460556, -73.786944)"
Croton Landing Park,Village of Croton-on-Hudson,Westchester,37.4,E,41.206389,-73.894722,HL,,,DU,2,,Y,Y,Y,,,,Y,,Y,,,,,,,,Y,Y,,"(41.206389, -73.894722)"
Indian Kill Marina & Norrie Point State Park,Town of Hyde Park,Dutchess,84.9,E,41.833889,-73.941944,HL,TL,C,DU,,Y,Y,,,,,,Y,,Y,,,,Y,,,,Y,Y,,"(41.833889, -73.941944)"
Nyack Beach State Park,Town of Nyack,Rockland ,31,W,41.120833,-73.910833,HL,,,DU,,,Y,,,,,,Y,,Y,,,,,,,,Y,,,"(41.120833, -73.910833)"
Fort Hardy Park,Village of Schuylerville,Saratoga ,182.9,W,43.099167,-73.576111,HL,,C,DU,,Y,Y,Y,Y,,,,Y,,Y,,,Y,,Y,Y,,Y,Y,Y,"(43.099167, -73.576111)"
Tivoli North Bay WMA,Town of Red Hook,Dutchess,100,E,42.038889,-73.914722,,,,DU,2,,,,,,,,Y,,Y,Y,Y,,,,,,Y,,,"(42.038889, -73.914722)"
Hudson River Park,Pier 96 Borough of Manhattan,New York,4,E,40.771389,-73.995556,HL,,,DU,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,Y,,,Y,Y,,"(40.771389, -73.995556)"
Kowawese Unique Area,Town of New Windsor,Orange ,58.7,W,41.462778,-74.011667,HL,,,DU,2,Y,,,,,,,Y,,Y,,,Y,,,,,Y,Y,Y,"(41.462778, -74.011667)"
Louis Engel Waterfront Park,Town of Ossining,Westchester,33.4,E,41.156389,-73.87,HL,TL,,DU,4,Y,Y,,Y,,Y,Y,Y,,Y,,,Y,,Y,Y,,Y,Y,,"(41.156389, -73.87)"
Lock C-2,Town of Halfmoon,Saratoga ,165.1,W,42.876667,-73.676389,Z,,,DU,,,,,,,,,,,Y,,,,,,,,,,,"(42.876667, -73.676389)"
Hudson River Islands State Park Middle Ground,Town of Stockport,Columbia ,122.1,E,42.319444,-73.781389,,,C,DU,,Y,Y,,,,,,Y,,Y,Y,,Y,,,,,Y,,,"(42.319444, -73.781389)"
Chelsea Boat Ramp & Castle Point Recreation Area,Town of Wappinger,Dutchess,64.6,E,41.555,-73.969444,HL,TL,P,DU,,,Y,,,,,,,,,,,,,,,,Y,Y,,"(41.555, -73.969444)"
